ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE	TERRAIN	HYDRO
BR24380	PONTA PORA		SBPP	N	WGE	WGE	S22325870	-22.549639	W055420941	-55.702614	02156	D	W014184 0106	1261	Y		CI					200512		
BR24448	SANTA CRUZ DO SUL		SB	SSSC	WGE	WGE	S29410278	-29.684106	W052244387	-52.412186	00646	D	W014213 0106	1384			CI					200509		
BR24473	FAZENDA SAO JOSE OB		SB	SDOB	WGE	WGE	S21253070	-21.425194	W046451560	-46.754333	02585	D	W020128 0106	1262			PV					200511		
BR24538	BASE AEREA		SBAN	N	WGE	WGE	S16134495	-16.229153	W048575136	-48.964267	03728	C	W019444 0106	1190	Y		MI					200512		
BR24666	BORBA		SB	SWBR	WGE	WGE	S04242283	-4.406342	W059360853	-59.602369	00295	D	W014263 0106	1014			CI					200502		
BR24685	VIDEIRA		SB	SSVI	WGE	WGE	S26595906	-26.999739	W051083097	-51.141936	02756	D	W016149 0106	1314			CI					200513		
BR24737	ALTAMIRA		SBHT	N	WGE	WGE	S03151406	-3.253906	W052151432	-52.253978	00368	D	W018278 0106	0946	Y		CI					200607		
BR25554	FAZENDA ARROSSENSAL		SB	SWRZ	WGE	WGE	S14211118	-14.353106	W056424981	-56.713836	01306	D	W015175 0106	1138			PV					200607		
BR25697	CRATEUS		SB	SNWS	WGE	WGE	S05124087	-5.211353	W040421516	-40.704211	01034	D	W021412 0106	1017	Y		CI					200411		
BR25915	UBAPORANGA		SB	SNCT	WGE	WGE	S19433105	-19.725292	W042064339	-42.112053	02067	D	W022221 0106	1189			CI					200502		
BR27155	PELOTAS		SBPK	N	WGE	WGE	S31430607	-31.718353	W052193968	-52.327689	00059	A	W013322 0106	1384	Y		CI					200609		
BR27159	CANOAS		SBCO	N	WGE	WGE	S29564540	-29.945944	W051083972	-51.144367	00026	C	W015099 0106	1384	Y		MI					200607		
BR27274	OIAPOQUE		SBOI	N	WGE	WGE	N03511975	3.855486	W051474872	-51.796867	00063	D	W018157 0106	0895	Y		CI					200607		
BR27288	MEDIANEIRA		SB	SSMD	WGE	WGE	S25183936	-25.310933	W054041382	-54.070506	01473	D	W014426 0106	1314			CI					200509		
BR27496	MARIO RIBEIRO		SBMK	N	WGE	WGE	S16422493	-16.706925	W043490804	-43.818900	02191	A	W021557 0106	1189	Y		CI					200510		
BR27521	JUSCELINO KUBITSCHECK		SB	SNTO	WGE	WGE	S17533235	-17.892319	W041304902	-41.513617	01572	D	W022392 0106	1189	Y		CI					200506		
BR27683	SANTA GENOVEVA		SBGO	N	WGE	WGE	S16375532	-16.632033	W049131447	-49.220686	02450	A	W019344 0106	1190	Y		CI					200510		
BR28087	LAGOA SANTA		SBLS	N	WGE	WGE	S19394180	-19.661611	W043534705	-43.896403	02795	C	W021428 0106	1189	Y		MI					200411		
BR28444	JEQUIE		SB	SNJK	WGE	WGE	S13523970	-13.877694	W040041790	-40.071639	00646	D	W022557 0106	1141			CI					200411		
BR28623	MINISTRO VICTOR KONDER INTL		SBNF	N	WGE	WGE	S26524800	-26.879999	W048390500	-48.651390	00018	D	W017539 0106	1313	Y		CI					200510		
BR29031	SERRO		SB	SNSO	WGE	WGE	S18363054	-18.608483	W043252686	-43.424128	02428	D	W021587 0106	1189			CI					200411		
BR29109	DIX SEPT ROSADO		SBMS	N	WGE	WGE	S05120691	-5.201919	W037215165	-37.364347	00077	D	W021466 0106	1018			CI					200605		
BR29166	VOTUPORANGA		SB	SDVG	WGE	WGE	S20274769	-20.463247	W050001633	-50.004536	01667	D	W018371 0106	1261			CI					200604		
BR29554	CAROLINA		SBCI	N	WGE	WGE	S07191360	-7.320444	W047273120	-47.458667	00565	D	W020298 0106	1016	Y		CI					200513		
BR30498	MINEIROS		SB	SWME	WGE	WGE	S17330497	-17.551381	W052332395	-52.556653	02707	D	W017332 0106	1191			CI					200411		
BR31248	BELO JARDIM		SB	SNBJ	WGE	WGE	S08204298	-8.345272	W036262837	-36.441214	02133	D	W022289 0106	1066			CI					200411		
BR31292	CIANORTE		SB	SSCT	WGE	WGE	S23412925	-23.691458	W052383102	-52.641950	01837	D	W016128 0106	1261			CI					200602		
BR31965	PALOTINA		SB	SSPT	WGE	WGE	S24203589	-24.343303	W053494334	-53.828706	01220	D	W015112 0106	1314			CI					200509		
BR32235	SOUSA		SB	SNQD	WGE	WGE	S06470760	-6.785444	W038140030	-38.233418	00745	D	W022077 0106	1018	Y		CI					200601		
BR32652	SAO MANUEL		SB	SDNO	WGE	WGE	S22414505	-22.695847	W048343589	-48.576636	02395	D	W019005 0106	1262			CI					200509		
BR32736	SOBRADINHO		SB	SNBD	WGE	WGE	S09274324	-9.462011	W040492763	-40.824342	01240	D	W022205 0106	1067			PV					200601		
BR32786	CATANDUVA		SB	SDCD	WGE	WGE	S21085726	-21.149239	W048591925	-48.988681	01841	D	W019046 0106	1262	Y		PV					200304		
BR32822	BARTOLOMEU LISANDRO		SBCP	N	WGE	WGE	S21415400	-21.698333	W041180601	-41.301669	00057	A	W022285 0106	1263	Y		CI					200510		
