ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
AG23554	27	09	268.0	88.0	09843	00148	ASP		N30524863	30.880175	W003030739	-3.052053	U	U	U		U									N30524102	30.878061	W003050023	-3.083397	U	U	U		U									265.5	85.5		09843	10503	09843	11213	200205
AG27206	20	02	203.0	23.0	11811	00148	ASP	056FBWT	N22493553	22.826536	E005272791	5.457753	4518.0	-0.5	U		U	07	55							N22474699	22.796386	E005263982	5.444394	4459.0	0.5	U		U	07	55							202.0	22.0		11811	11811	11811	11811	200513
AG27206	26	08	263.0	83.0	10171	00148	ASP	048FAXT	N22484070	22.811306	E005270969	5.452692	4472.0	-0.1	U		U	07	55							N22482630	22.807306	E005252199	5.422775	4465.0	0.1	U		U	07	11	55						262.0	82.0	C	10171	10171	10171	10171	200503
AG28442	27	09	270.0	90.0	09843	00148	ASP		N26432433	26.723425	E008381623	8.637842	U	U	U		U	07								N26432512	26.723644	E008362687	8.607464	U	U	U		U	07								270.0	90.0		09843	09843	09843	09843	200310
AG29202	25	07	246.0	66.0	09834	00148	CON		N35443420	35.742833	W000472200	-0.789444	U	U	U		U									N35435290	35.731361	W000490990	-0.819417	U	U	U		U									244.2	64.2		09834	09834	09834	09834	200012
AG29602	30	12	297.0	117.0	06608	00105	BIT		N32534070	32.894638	E000320390	0.534417	U	0.0	U		U									N32540860	32.902390	E000305380	0.514944	U	0.0	U		U									295.4	115.4		06608	06608	06608	06608	199602
AG30555	34L	16R	338.0	158.0	12477	00148	ASP		N33445370	33.748250	E002560721	2.935336	2510.0	0.0	U		U									N33464727	33.779797	E002550932	2.919256	2510.0	0.0	U		U									336.9	156.9		12477	12477	12477	13087	200604
AG30555	34R	16L	338.0	158.0	12486	00148	ASP		N33445624	33.748956	E002561476	2.937433	U	U	U		U	50								N33464991	33.780531	E002551688	2.921356	U	U	U		U	50								337.0	157.0		12486	12814	12486	12814	200604
AG30577	20	02	197.0	17.0	09843	00148	ASP		N31555436	31.931767	E005244824	5.413400	463.0	0.3	U		U									N31542069	31.905747	E005241675	5.404653	492.0	-0.3	U		U									195.9	15.9		09843	10003	09843	09843	200205
AG30577	36	18	360.0	180.0	10171	00148	ASP		N31540780	31.902167	E005250143	5.417064	U	U	U		U									N31554848	31.930133	E005245927	5.416464	U	U	U	0350	U									359.0	179.0		10171	10171	09821	10171	200205
AG32594	26	08	260.0	80.0	09835	00148	ASP		N32555869	32.932969	E003193822	3.327283	U	U	U		U									N32554040	32.927889	E003174489	3.295803	U	U	U		U									259.2	79.2		09835	10175	09835	09960	200404
AG32594	27	09	268.5	88.5	04695	00100	ASP		N32555707	32.932519	E003190027	3.316742	U	U	U		U									N32555554	32.932094	E003180524	3.301456	U	U	U	0280	U									268.1	88.1		04695	04870	04415	04695	200404
AG33600	26	08	257.0	77.0	09037	00140	ASP		N35324390	35.545528	W000310331	-0.517586	367.0	-0.1	U		U	43								N35322176	35.539378	W000324905	-0.546958	361.0	0.1	U		U	43								255.6	75.6		09037	09037	09037	09037	200307
AG42199	25	07	248.0	68.0	05413	00098	ASP		N36125627	36.215631	E001202457	1.340158	463.0	0.0	U		U									N36123487	36.209686	E001192415	1.323375	463.0	0.0	U		U									246.4	66.4		05413	05413	05413	05413	200111
AG42693	26	08	262.0	82.0	09843	00148	ASP		N35203546	35.343183	E001284596	1.479433	3202.0	0.4	U		U	55								N35202072	35.339089	E001264870	1.446861	3245.0	-0.4	U		U	55								261.0	81.0		09843	10041	09843	10041	200609
